"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date_month","Date_week","Date","Pathogen","Result"
"68","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"BRSV",0
"69","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"PI3",0
"70","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"BCV",0
"71","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","Culture","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"PM",0
"72","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","Culture","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"MH",0
"73","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","Culture","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"HS",0
"74","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","Culture","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"MB",0
"75","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","Culture","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"BRSV",NA
"76","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","Culture","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"PI3",NA
"77","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","Culture","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"BCV",NA
"78","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"PM",0
"79","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"MH",0
"80","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"HS",0
"81","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"MB",1
"82","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"BRSV",1
"83","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"PI3",0
"84","3","Belgium","Beef","Hainaut","06715354c41a430da0297c07f79104aca70c553a581fca8b61b0c8f282766ef7","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-02-01,2019-02-25,2019-02-25,"BCV",NA
"85","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"PM",0
"86","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"MH",0
"87","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"HS",0
"88","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"MB",0
"89","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"BRSV",NA
"90","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"PI3",NA
"91","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"BCV",NA
"92","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"PM",0
"93","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"MH",0
"94","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"HS",0
"95","3","Belgium","Beef","Hainaut","080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2024-10-01,2024-10-21,2024-10-27,"MB",0
